Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

D1         SOD323                 38.3mm       27.85mm        39.8mm       27.85mm        39.8mm       27.85mm  B        180.00 DIODE1         
D2         SOD323                 38.3mm       26.25mm        39.8mm       26.25mm        39.8mm       26.25mm  B        180.00 DIODE1         
Q1         SOT23                 47.15mm       26.75mm       47.15mm       26.75mm     48.1025mm      25.734mm  B        180.00 NPN-Y1         
R11        R0603               47.2255mm       23.65mm        46.4mm       23.65mm        46.4mm       23.65mm  B        360.00 2.2k           
R12        SOD323               42.975mm       27.85mm      41.475mm       27.85mm      41.475mm       27.85mm  B        360.00 DIODE1         
R13        R0603               42.2995mm        26.3mm      43.125mm        26.3mm      43.125mm        26.3mm  B        180.00 4.7k           
R24        R0603               47.2245mm          21mm       48.05mm          21mm       48.05mm          21mm  B        180.00 1M             
U16        SO-14                39.931mm       20.79mm      42.725mm        24.6mm      42.725mm        24.6mm  B        180.00 74LS14         
X3         CRY3215A              46.05mm       18.13mm       46.05mm        19.4mm       46.05mm        19.4mm  B        270.00 32768kHZ       
C5         C0603               14.3752mm       54.55mm       13.55mm       54.55mm       13.55mm       54.55mm  B        360.00 47000pf        
R18        R0603               14.3745mm          56mm        15.2mm          56mm        15.2mm          56mm  B        180.00 1k             
CV42       C0603               48.3753mm          41mm       47.55mm          41mm       47.55mm          41mm  B        360.00 0.1uf          
CV25       C0603                  28.5mm      3.3253mm        28.5mm         2.5mm        28.5mm         2.5mm  B         90.00 0.1uf          
CV22       C0603               48.3753mm       39.55mm       47.55mm       39.55mm       47.55mm       39.55mm  B        360.00 0.1uf          
U11        QFP208               20.686mm        55.1mm         5.7mm       67.85mm       5.192mm       67.85mm  T        270.00 ALD93C308      
CV49       C0603                1.9247mm       46.75mm        2.75mm       46.75mm        2.75mm       46.75mm  T        180.00 0.1uf          
CV44       C0603               36.6748mm        74.5mm        37.5mm        74.5mm        37.5mm        74.5mm  T        180.00 0.1uf          
CV28       C0603                 49.45mm     58.3252mm       49.45mm        57.5mm       49.45mm        57.5mm  T         90.00 0.1uf          
CV29       C0603                    48mm     58.3252mm          48mm        57.5mm          48mm        57.5mm  T         90.00 0.1uf          
CV6        C0805                 2.557mm          18mm         3.7mm          18mm         3.7mm          18mm  T        180.00 CAP            
CV4        C0805                 2.607mm        26.4mm        3.75mm        26.4mm        3.75mm        26.4mm  T        180.00 CAP            
CV3        C0805                 2.607mm        24.3mm        3.75mm        24.3mm        3.75mm        24.3mm  T        180.00 CAP            
CV2        C0805                 2.607mm        22.2mm        3.75mm        22.2mm        3.75mm        22.2mm  T        180.00 CAP            
CV1        C0805                 2.557mm        20.1mm         3.7mm        20.1mm         3.7mm        20.1mm  T        180.00 CAP            
I3         BTB1.0-51P-b           43.5mm       54.85mm        45.5mm       42.35mm        45.5mm       42.35mm  T         90.00 CON51P         
CV19       C0603                1.9247mm       54.75mm        2.75mm       54.75mm        2.75mm       54.75mm  T        180.00 0.1uf          
CV18       C0603                8.9247mm        21.4mm        9.75mm        21.4mm        9.75mm        21.4mm  T        180.00 0.1uf          
CV20       C0603               20.9252mm        74.5mm        20.1mm        74.5mm        20.1mm        74.5mm  T        360.00 0.1uf          
CV14       C0603                1.9247mm        63.4mm        2.75mm        63.4mm        2.75mm        63.4mm  T        180.00 0.1uf          
LED1       LED0603                   8mm           3mm        7.15mm           3mm        7.15mm           3mm  T        360.00 POWER          
M3         MY-M2                  57.5mm           3mm        57.5mm           3mm        57.5mm           3mm  T          0.00 CON1           
M4         M2A                     2.5mm       40.25mm         2.5mm       40.25mm         2.5mm       40.25mm  T          0.00 CON1           
R1         R0603               14.7245mm        24.9mm       15.55mm        24.9mm       15.55mm        24.9mm  T        180.00 10k            
